# Qualcomm (QCOM) 10-Q filed 2026-07-29 — XBRL segment revenue and customer concentration
# source label: Qualcomm 10-Q (07-29-2026)

## XBRL customer concentration (10-Q; us-gaap:ConcentrationRiskPercentage1 by srt:MajorCustomersAxis)
- Customer/licensee (x): 18% of revenue, period 2025-03-31 to 2025-06-29
- Customer/licensee (x): 20% of revenue, period 2024-09-30 to 2025-06-29
- Customer/licensee (x): 23% of revenue, period 2026-03-30 to 2026-06-28
- Customer/licensee (x): 24% of revenue, period 2025-09-29 to 2026-06-28
- Customer/licensee (y): 21% of revenue, period 2025-03-31 to 2025-06-29
- Customer/licensee (y): 21% of revenue, period 2024-09-30 to 2025-06-29
- Customer/licensee (y): 20% of revenue, period 2026-03-30 to 2026-06-28
- Customer/licensee (y): 20% of revenue, period 2025-09-29 to 2026-06-28
- Customer/licensee (z): 13% of revenue, period 2024-09-30 to 2025-06-29
- Customer/licensee (z): 13% of revenue, period 2025-03-31 to 2025-06-29
