# Credo (CRDO) 10-Q filed 2026-09-02 — XBRL segment revenue and customer concentration
# source label: Credo 10-Q (09-02-2026)

## XBRL customer concentration (10-Q; us-gaap:ConcentrationRiskPercentage1 by srt:MajorCustomersAxis)
- Customer A: 53% of accounts receivable, period 2025-05-04 to 2026-05-02
- Customer A: 57% of accounts receivable, period 2026-05-03 to 2026-08-01
- Customer A: 50% of revenue, period 2025-05-04 to 2025-08-02
- Customer A: 43% of revenue, period 2026-05-03 to 2026-08-01
- Customer B: 20% of accounts receivable, period 2025-05-04 to 2026-05-02
- Customer B: 28% of accounts receivable, period 2026-05-03 to 2026-08-01
- Customer B: 35% of revenue, period 2025-05-04 to 2025-08-02
- Customer B: 28% of revenue, period 2026-05-03 to 2026-08-01
- Customer C: 19% of accounts receivable, period 2025-05-04 to 2026-05-02
