window_trading_days,group,n_companies,companies
5,full_capacity,17,ASE Group; Amazon Web Services; Arista; CoreWeave; Dell; Fabrinet; GlobalFoundries; IREN; Intel; Jabil; Lumentum; Micron; Nebius; Oracle; Seagate; TSMC; Vicor
5,rest,53,AMD; ASML; Amkor Technology; Amphenol; Analog Devices; Apple; Applied Digital; Applied Materials; Applied Optoelectronics; Arm Holdings; Astera Labs; Cadence; Celestica; Cisco; Coherent; Constellation Energy; Core Scientific; Corning; Credo; Eaton; Flex; GE Vernova; Google; HPE; KLA; Lam Research; Linde; Lumen Technologies; MACOM; Marvell; Meta; Microsoft; Modine; Monolithic Power Systems; NVIDIA; Navitas; Onto Innovation; Power Integrations; Qualcomm; Rambus; Sandisk; Silicon Motion; Supermicro; Synopsys; TTM Technologies; Teradyne; Texas Instruments; Vertiv; Vishay; Western Digital; Wolfspeed; nVent; onsemi
10,full_capacity,16,ASE Group; Amazon Web Services; Arista; CoreWeave; Fabrinet; GlobalFoundries; IREN; Intel; Jabil; Lumentum; Micron; Nebius; Oracle; Seagate; TSMC; Vicor
10,rest,49,AMD; ASML; Amkor Technology; Amphenol; Analog Devices; Apple; Applied Digital; Applied Materials; Applied Optoelectronics; Arm Holdings; Astera Labs; Cadence; Celestica; Cisco; Coherent; Constellation Energy; Core Scientific; Corning; Eaton; Flex; GE Vernova; Google; KLA; Lam Research; Linde; Lumen Technologies; MACOM; Meta; Microsoft; Modine; Monolithic Power Systems; NVIDIA; Navitas; Onto Innovation; Power Integrations; Qualcomm; Rambus; Sandisk; Silicon Motion; Supermicro; TTM Technologies; Teradyne; Texas Instruments; Vertiv; Vishay; Western Digital; Wolfspeed; nVent; onsemi
20,full_capacity,15,ASE Group; Amazon Web Services; Arista; CoreWeave; Fabrinet; GlobalFoundries; IREN; Intel; Jabil; Lumentum; Micron; Oracle; Seagate; TSMC; Vicor
20,rest,43,AMD; ASML; Amkor Technology; Amphenol; Apple; Applied Digital; Applied Optoelectronics; Arm Holdings; Astera Labs; Cadence; Celestica; Coherent; Core Scientific; Corning; Eaton; Flex; GE Vernova; Google; KLA; Lam Research; Linde; Lumen Technologies; MACOM; Meta; Microsoft; Modine; Monolithic Power Systems; Navitas; Onto Innovation; Power Integrations; Qualcomm; Rambus; Sandisk; Silicon Motion; Supermicro; TTM Technologies; Teradyne; Texas Instruments; Vertiv; Western Digital; Wolfspeed; nVent; onsemi
